date_time,tweet_id,retweets,favorites
2017-06-03 15:55:36,871032628920680449,3331,20673
2017-06-03 00:48:22,870804317367881728,5424,30581
2017-06-02 19:38:25,870726314365509632,3,109
2017-06-02 15:00:16,870656317836468226,2271,11168
2017-06-01 20:18:38,870374049280663552,23443,75888
2017-06-01 16:00:09,870308999962521604,3640,19964
2017-05-31 23:43:25,870063196459192321,7287,33220
2017-05-31 04:27:59,869772420881756160,8933,38888
2017-05-30 23:51:58,869702957897576449,5532,25677
2017-05-30 16:49:31,869596645499047938,2721,14569
2017-05-29 16:24:37,869227993411051520,3303,18609
2017-05-28 17:23:24,868880397819494401,12655,59518
2017-05-28 01:26:04,868639477480148993,1808,0
2017-05-28 00:18:35,868622495443632128,4633,24254
2017-05-27 19:39:34,868552278524837888,1808,9215
2017-05-26 00:29:37,867900495410671616,3686,22130
2017-05-25 16:10:44,867774946302451713,6440,30995
2017-05-24 16:44:18,867421006826221569,2190,14686
2017-05-23 17:40:04,867072653475098625,106,0
2017-05-23 16:16:06,867051520902168576,6984,29434
2017-05-22 18:21:28,866720684873056260,4251,18279
2017-05-22 16:06:55,866686824827068416,3051,17581
2017-05-22 00:28:40,866450705531457537,31212,111692
2017-05-21 16:48:45,866334964761202691,12610,47826
2017-05-21 00:53:21,866094527597207552,7394,0
2017-05-19 23:57:46,865718153858494464,4994,23557
2017-05-19 00:12:11,865359393868664832,4430,24226
2017-05-18 00:50:50,865006731092295680,6861,25693
2017-05-17 16:00:15,864873206498414592,7712,29533
2017-05-16 00:41:21,864279568663928832,2669,13399
2017-05-15 19:14:50,864197398364647424,7818,27387
2017-05-15 00:02:33,863907417377173506,3694,18932
2017-05-14 00:34:33,863553081350529029,3743,14011
2017-05-13 19:11:30,863471782782697472,2146,0
2017-05-13 16:33:49,863432100342583297,4686,21883
2017-05-13 16:15:35,863427515083354112,82,2010
2017-05-12 17:12:53,863079547188785154,988,8083
2017-05-12 16:05:02,863062471531167744,2146,7723
2017-05-12 00:46:44,862831371563274240,4593,17618
